algo,seed,match_id,bot0,city_tiles0,units0,bot1,city_tiles1,units1,winner
EXP3Light,967262953,100291,meta_bot,0,0,imitation_tb,12,12,imitation_tb
EXP3Light,967262953,100292,meta_bot,0,1,imitation_dr,3,4,imitation_dr
EXP3Light,967262953,100293,meta_bot,2,2,imitation_rl,0,1,meta_bot
EXP3Light,967262953,100294,working_title,0,0,imitation_tb,5,10,imitation_tb
EXP3Light,967262953,100295,working_title,0,1,imitation_dr,4,4,imitation_dr
EXP3Light,967262953,100296,working_title,0,1,imitation_rl,4,5,imitation_rl
EXP3Light,967262953,100297,imitation_tb,0,0,imitation_dr,12,13,imitation_dr
EXP3Light,967262953,100298,imitation_tb,3,3,imitation_rl,2,2,imitation_tb
EXP3Light,967262953,100299,imitation_dr,4,4,imitation_rl,2,2,imitation_dr
EXP4,975635871,100300,meta_bot,5,5,working_title,6,5,working_title
EXP4,975635871,100301,meta_bot,4,4,imitation_tb,8,8,imitation_tb
EXP4,975635871,100302,meta_bot,1,1,imitation_dr,22,22,imitation_dr
EXP4,975635871,100303,meta_bot,10,11,imitation_rl,10,15,imitation_rl
EXP4,975635871,100304,working_title,1,3,imitation_tb,26,26,imitation_tb
EXP4,975635871,100305,working_title,2,6,imitation_dr,8,9,imitation_dr
EXP4,975635871,100306,working_title,11,19,imitation_rl,0,0,working_title
EXP4,975635871,100307,imitation_tb,1,2,imitation_dr,9,14,imitation_dr
EXP4,975635871,100308,imitation_tb,3,3,imitation_rl,2,5,imitation_tb
EXP4,975635871,100309,imitation_dr,13,13,imitation_rl,5,9,imitation_dr
EXP4,524914190,100310,meta_bot,3,3,working_title,0,1,meta_bot
EXP4,524914190,100311,meta_bot,0,0,imitation_tb,21,21,imitation_tb
EXP4,524914190,100312,meta_bot,0,0,imitation_dr,11,13,imitation_dr
EXP4,524914190,100313,meta_bot,14,14,imitation_rl,0,2,meta_bot
EXP4,524914190,100314,working_title,1,0,imitation_tb,1,1,imitation_tb
EXP4,524914190,100315,working_title,0,2,imitation_dr,9,10,imitation_dr
EXP4,524914190,100316,working_title,2,4,imitation_rl,0,0,working_title
EXP4,524914190,100317,imitation_tb,0,2,imitation_dr,2,2,imitation_dr
EXP4,524914190,100318,imitation_tb,20,20,imitation_rl,0,2,imitation_tb
EXP4,524914190,100319,imitation_dr,7,7,imitation_rl,0,0,imitation_dr
EXP4,560401199,100320,meta_bot,45,57,working_title,30,31,meta_bot
EXP4,560401199,100321,meta_bot,36,37,imitation_tb,93,104,imitation_tb
EXP4,560401199,100322,meta_bot,16,16,imitation_dr,69,86,imitation_dr
EXP4,560401199,100323,meta_bot,35,35,imitation_rl,105,104,imitation_rl
EXP4,560401199,100324,working_title,31,29,imitation_tb,71,71,imitation_tb
EXP4,560401199,100325,working_title,58,73,imitation_dr,4,6,working_title
EXP4,560401199,100326,working_title,10,16,imitation_rl,80,80,imitation_rl
EXP4,560401199,100327,imitation_tb,87,90,imitation_dr,5,15,imitation_tb
EXP4,560401199,100328,imitation_tb,70,70,imitation_rl,24,24,imitation_tb
EXP4,560401199,100329,imitation_dr,27,40,imitation_rl,34,39,imitation_rl
EXP4,865462865,100330,meta_bot,3,3,working_title,0,1,meta_bot
EXP4,865462865,100331,meta_bot,1,1,imitation_tb,4,4,imitation_tb
EXP4,865462865,100332,meta_bot,3,3,imitation_dr,0,1,meta_bot
EXP4,865462865,100333,meta_bot,2,3,imitation_rl,2,2,meta_bot
EXP4,865462865,100334,working_title,0,0,imitation_tb,11,10,imitation_tb
EXP4,865462865,100335,working_title,0,0,imitation_dr,5,6,imitation_dr
EXP4,865462865,100336,working_title,0,2,imitation_rl,0,3,imitation_rl
EXP4,865462865,100337,imitation_tb,5,5,imitation_dr,0,1,imitation_tb
EXP4,865462865,100338,imitation_tb,1,1,imitation_rl,0,1,imitation_tb
EXP4,865462865,100339,imitation_dr,1,2,imitation_rl,0,2,imitation_dr
EXP4,558757694,100340,meta_bot,9,9,working_title,5,6,meta_bot
EXP4,558757694,100341,meta_bot,2,3,imitation_tb,13,13,imitation_tb
EXP4,558757694,100342,meta_bot,10,11,imitation_dr,12,14,imitation_dr
EXP4,558757694,100343,meta_bot,6,7,imitation_rl,10,10,imitation_rl
EXP4,558757694,100344,working_title,0,1,imitation_tb,18,21,imitation_tb
